---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    mx   : death rate
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,mx
1981,female,30-34,001*-139*,1.24
1982,female,30-34,001*-139*,0.93
1983,female,30-34,001*-139*,0.68
1984,female,30-34,001*-139*,0.63
1985,female,30-34,001*-139*,1.44
1986,female,30-34,001*-139*,1.49
1987,female,30-34,001*-139*,1.6
1988,female,30-34,001*-139*,2.13
1989,female,30-34,001*-139*,3.23
1990,female,30-34,001*-139*,5
1991,female,30-34,001*-139*,6.86
1992,female,30-34,001*-139*,9.74
1993,female,30-34,001*-139*,12.76
1994,female,30-34,001*-139*,13.08
1995,female,30-34,001*-139*,12.55
1996,female,30-34,001*-139*,9.89
1997,female,30-34,001*-139*,4.1
1998,female,30-34,001*-139*,2.46
1999,female,30-34,001*-139*,2.75
1925,female,35-39,001*-139*,182.92
1926,female,35-39,001*-139*,194.18
1927,female,35-39,001*-139*,202.82
1928,female,35-39,001*-139*,199.08
1929,female,35-39,001*-139*,197.15
1930,female,35-39,001*-139*,183.99
1931,female,35-39,001*-139*,172.81
1932,female,35-39,001*-139*,163.89
1933,female,35-39,001*-139*,150.41
1934,female,35-39,001*-139*,146.82
1935,female,35-39,001*-139*,142.06
1936,female,35-39,001*-139*,138.45
1937,female,35-39,001*-139*,131.61
1938,female,35-39,001*-139*,135.22
1939,female,35-39,001*-139*,128.04
1940,female,35-39,001*-139*,142.77
1941,female,35-39,001*-139*,153.11
1942,female,35-39,001*-139*,148.38
1943,female,35-39,001*-139*,147.08
1944,female,35-39,001*-139*,124.41
1945,female,35-39,001*-139*,118.51
1946,female,35-39,001*-139*,86.55
1947,female,35-39,001*-139*,73.63
1948,female,35-39,001*-139*,67.81
1949,female,35-39,001*-139*,63.26
1950,female,35-39,001*-139*,54.64
1951,female,35-39,001*-139*,54.59
1952,female,35-39,001*-139*,37.03
1953,female,35-39,001*-139*,32.56
1954,female,35-39,001*-139*,29.91
1955,female,35-39,001*-139*,23.88
1956,female,35-39,001*-139*,22.03
1957,female,35-39,001*-139*,19.9
1958,female,35-39,001*-139*,18.75
1959,female,35-39,001*-139*,15.18
1960,female,35-39,001*-139*,14.48
1961,female,35-39,001*-139*,11.42
1962,female,35-39,001*-139*,11.1
1963,female,35-39,001*-139*,10.32
1964,female,35-39,001*-139*,7.73
1965,female,35-39,001*-139*,6.91
1966,female,35-39,001*-139*,8.02
1967,female,35-39,001*-139*,5.9
1968,female,35-39,001*-139*,4.04
1969,female,35-39,001*-139*,4.83
1970,female,35-39,001*-139*,3.45
1971,female,35-39,001*-139*,3.38
1972,female,35-39,001*-139*,4.02
1973,female,35-39,001*-139*,3.78
1974,female,35-39,001*-139*,3.03
1975,female,35-39,001*-139*,3.24
1976,female,35-39,001*-139*,2.37
1977,female,35-39,001*-139*,2.14
1978,female,35-39,001*-139*,2.22
1979,female,35-39,001*-139*,1.33
1980,female,35-39,001*-139*,1.66
1981,female,35-39,001*-139*,1.26
1982,female,35-39,001*-139*,1.5
1983,female,35-39,001*-139*,1.62
1984,female,35-39,001*-139*,1.7
1985,female,35-39,001*-139*,1.55
1986,female,35-39,001*-139*,1.36
1987,female,35-39,001*-139*,1.83
1988,female,35-39,001*-139*,2.01
1989,female,35-39,001*-139*,2.41
1990,female,35-39,001*-139*,3.45
1991,female,35-39,001*-139*,4.04
1992,female,35-39,001*-139*,6.35
1993,female,35-39,001*-139*,7.51
1994,female,35-39,001*-139*,8.78
1995,female,35-39,001*-139*,8.47
1996,female,35-39,001*-139*,8.35
1997,female,35-39,001*-139*,3.41
1998,female,35-39,001*-139*,3.77
1999,female,35-39,001*-139*,3.41
1925,female,40-44,001*-139*,167.59
1926,female,40-44,001*-139*,171.45
1927,female,40-44,001*-139*,178.04
1928,female,40-44,001*-139*,165.04
1929,female,40-44,001*-139*,171.97
1930,female,40-44,001*-139*,159.56
1931,female,40-44,001*-139*,157.34
1932,female,40-44,001*-139*,148.64
1933,female,40-44,001*-139*,137.12
1934,female,40-44,001*-139*,126.81
1935,female,40-44,001*-139*,121.83
1936,female,40-44,001*-139*,119.05
1937,female,40-44,001*-139*,113.06
1938,female,40-44,001*-139*,111.54
1939,female,40-44,001*-139*,102.18
1940,female,40-44,001*-139*,123.03
1941,female,40-44,001*-139*,138.94
1942,female,40-44,001*-139*,133.01
1943,female,40-44,001*-139*,131.49
1944,female,40-44,001*-139*,120.08
1945,female,40-44,001*-139*,102.91
1946,female,40-44,001*-139*,72.57
1947,female,40-44,001*-139*,68.14
1948,female,40-44,001*-139*,64.17
1949,female,40-44,001*-139*,59.19
1950,female,40-44,001*-139*,46.31
1951,female,40-44,001*-139*,48.29
1952,female,40-44,001*-139*,36.43
1953,female,40-44,001*-139*,27.89
1954,female,40-44,001*-139*,25.98
1955,female,40-44,001*-139*,25.53
1956,female,40-44,001*-139*,20.61
1957,female,40-44,001*-139*,20.76
1958,female,40-44,001*-139*,18.19
1959,female,40-44,001*-139*,17.66
1960,female,40-44,001*-139*,13.74
1961,female,40-44,001*-139*,13.45
1962,female,40-44,001*-139*,11.42
1963,female,40-44,001*-139*,13.2
1964,female,40-44,001*-139*,9.18
1965,female,40-44,001*-139*,7.89
1966,female,40-44,001*-139*,8.43
1967,female,40-44,001*-139*,6.57
1968,female,40-44,001*-139*,6.63
1969,female,40-44,001*-139*,6.29
1970,female,40-44,001*-139*,5.13
1971,female,40-44,001*-139*,4.03
1972,female,40-44,001*-139*,5.04
1973,female,40-44,001*-139*,5.27
1974,female,40-44,001*-139*,3.88
1975,female,40-44,001*-139*,3.76
1976,female,40-44,001*-139*,3.21
1977,female,40-44,001*-139*,3.42
1978,female,40-44,001*-139*,2.85
1979,female,40-44,001*-139*,3.22
1980,female,40-44,001*-139*,3.24
1981,female,40-44,001*-139*,2.45
1982,female,40-44,001*-139*,2.54
1983,female,40-44,001*-139*,1.61
1984,female,40-44,001*-139*,1.82
1985,female,40-44,001*-139*,2.35
1986,female,40-44,001*-139*,2.24
1987,female,40-44,001*-139*,1.54
1988,female,40-44,001*-139*,1.83
1989,female,40-44,001*-139*,3
1990,female,40-44,001*-139*,2.51
1991,female,40-44,001*-139*,3.91
1992,female,40-44,001*-139*,3.72
1993,female,40-44,001*-139*,4.66
1994,female,40-44,001*-139*,5.73
1995,female,40-44,001*-139*,7.08
1996,female,40-44,001*-139*,5.31
1997,female,40-44,001*-139*,2.21
1998,female,40-44,001*-139*,2.49
1999,female,40-44,001*-139*,3.06
1925,female,45-49,001*-139*,135.7
1926,female,45-49,001*-139*,143.11
1927,female,45-49,001*-139*,146.07
1928,female,45-49,001*-139*,138.5
1929,female,45-49,001*-139*,151.36
1930,female,45-49,001*-139*,141.16
1931,female,45-49,001*-139*,140.05
1932,female,45-49,001*-139*,126.32
1933,female,45-49,001*-139*,119.8
1934,female,45-49,001*-139*,113.01
1935,female,45-49,001*-139*,115.25
1936,female,45-49,001*-139*,102.55
1937,female,45-49,001*-139*,109.43
1938,female,45-49,001*-139*,108.8
1939,female,45-49,001*-139*,101.57
1940,female,45-49,001*-139*,113.86
1941,female,45-49,001*-139*,137.09
1942,female,45-49,001*-139*,121.7
1943,female,45-49,001*-139*,118.14
1944,female,45-49,001*-139*,112.42
1945,female,45-49,001*-139*,90.91
1946,female,45-49,001*-139*,66.72
1947,female,45-49,001*-139*,63.64
1948,female,45-49,001*-139*,61.65
1949,female,45-49,001*-139*,56.93
1950,female,45-49,001*-139*,49
1951,female,45-49,001*-139*,47.05
1952,female,45-49,001*-139*,36.73
1953,female,45-49,001*-139*,34.12
1954,female,45-49,001*-139*,26.31
1955,female,45-49,001*-139*,24.66
1956,female,45-49,001*-139*,25.33
1957,female,45-49,001*-139*,20.62
1958,female,45-49,001*-139*,17.49
1959,female,45-49,001*-139*,15.85
1960,female,45-49,001*-139*,15.71
1961,female,45-49,001*-139*,16.5
1962,female,45-49,001*-139*,15.41
1963,female,45-49,001*-139*,14.78
1964,female,45-49,001*-139*,10.77
1965,female,45-49,001*-139*,11.79
1966,female,45-49,001*-139*,10.16
1967,female,45-49,001*-139*,7.95
1968,female,45-49,001*-139*,9.34
1969,female,45-49,001*-139*,8.03
1970,female,45-49,001*-139*,6.02
1971,female,45-49,001*-139*,6.6
1972,female,45-49,001*-139*,5.29
1973,female,45-49,001*-139*,5.69
1974,female,45-49,001*-139*,5.61
1975,female,45-49,001*-139*,5.7
1976,female,45-49,001*-139*,6.1
1977,female,45-49,001*-139*,3.8
1978,female,45-49,001*-139*,5.3
1979,female,45-49,001*-139*,3.98
1980,female,45-49,001*-139*,3.86
1981,female,45-49,001*-139*,2.64
1982,female,45-49,001*-139*,3.28
1983,female,45-49,001*-139*,2.55
1984,female,45-49,001*-139*,2.43
1985,female,45-49,001*-139*,2.29
1986,female,45-49,001*-139*,2.04
1987,female,45-49,001*-139*,2.57
1988,female,45-49,001*-139*,2.03
1989,female,45-49,001*-139*,2.24
1990,female,45-49,001*-139*,3.19
1991,female,45-49,001*-139*,2.76
1992,female,45-49,001*-139*,3.72
1993,female,45-49,001*-139*,4.57
1994,female,45-49,001*-139*,3.85
1995,female,45-49,001*-139*,4.3
1996,female,45-49,001*-139*,3.47
1997,female,45-49,001*-139*,2.26
1998,female,45-49,001*-139*,2.23
1999,female,45-49,001*-139*,2.18
1925,female,50-54,001*-139*,119.7
1926,female,50-54,001*-139*,126.56
1927,female,50-54,001*-139*,131.93
1928,female,50-54,001*-139*,122.52
1929,female,50-54,001*-139*,123.44
1930,female,50-54,001*-139*,120.88
1931,female,50-54,001*-139*,115.7
1932,female,50-54,001*-139*,112.76
1933,female,50-54,001*-139*,104.12
1934,female,50-54,001*-139*,101.54
1935,female,50-54,001*-139*,99.17
1936,female,50-54,001*-139*,95.58
1937,female,50-54,001*-139*,86.35
1938,female,50-54,001*-139*,80.68
1939,female,50-54,001*-139*,81.37
1940,female,50-54,001*-139*,103.62
1941,female,50-54,001*-139*,121.55
1942,female,50-54,001*-139*,112.79
1943,female,50-54,001*-139*,118.5
1944,female,50-54,001*-139*,112.63
1945,female,50-54,001*-139*,92.24
1946,female,50-54,001*-139*,68.36
1947,female,50-54,001*-139*,61.4
1948,female,50-54,001*-139*,56.6
1949,female,50-54,001*-139*,54.75
1950,female,50-54,001*-139*,45.99
1951,female,50-54,001*-139*,45.92
1952,female,50-54,001*-139*,39.07
1953,female,50-54,001*-139*,32.58
1954,female,50-54,001*-139*,28.54
1955,female,50-54,001*-139*,24.31
1956,female,50-54,001*-139*,24.08
1957,female,50-54,001*-139*,21.97
1958,female,50-54,001*-139*,20.2
1959,female,50-54,001*-139*,18.58
1960,female,50-54,001*-139*,17.8
1961,female,50-54,001*-139*,17.01
1962,female,50-54,001*-139*,16.55
1963,female,50-54,001*-139*,13.83
1964,female,50-54,001*-139*,12.07
1965,female,50-54,001*-139*,11.5
1966,female,50-54,001*-139*,11.89
1967,female,50-54,001*-139*,11.85
1968,female,50-54,001*-139*,8.63
1969,female,50-54,001*-139*,8.1
1970,female,50-54,001*-139*,8.17
1971,female,50-54,001*-139*,7.95
1972,female,50-54,001*-139*,7.42
1973,female,50-54,001*-139*,7.81
1974,female,50-54,001*-139*,6.79
1975,female,50-54,001*-139*,7.2
1976,female,50-54,001*-139*,7.75
1977,female,50-54,001*-139*,6.2
1978,female,50-54,001*-139*,5.74
1979,female,50-54,001*-139*,5.41
1980,female,50-54,001*-139*,6.01
1981,female,50-54,001*-139*,6.82
1982,female,50-54,001*-139*,4.99
1983,female,50-54,001*-139*,4.3
1984,female,50-54,001*-139*,4.04
1985,female,50-54,001*-139*,3.48
1986,female,50-54,001*-139*,4.57
1987,female,50-54,001*-139*,3.94
1988,female,50-54,001*-139*,3.37
1989,female,50-54,001*-139*,3.64
1990,female,50-54,001*-139*,3.85
1991,female,50-54,001*-139*,3.37
1992,female,50-54,001*-139*,4.28
1993,female,50-54,001*-139*,3.87
1994,female,50-54,001*-139*,5.02
1995,female,50-54,001*-139*,5.16
1996,female,50-54,001*-139*,4.13
1997,female,50-54,001*-139*,3.39
1998,female,50-54,001*-139*,2.9
1999,female,50-54,001*-139*,2.71
1925,female,55-59,001*-139*,110.71
1926,female,55-59,001*-139*,117.04
1927,female,55-59,001*-139*,125.05
1928,female,55-59,001*-139*,117.9
1929,female,55-59,001*-139*,122.63
1930,female,55-59,001*-139*,118.76
1931,female,55-59,001*-139*,109.49
1932,female,55-59,001*-139*,110.04
1933,female,55-59,001*-139*,106.77
1934,female,55-59,001*-139*,98.67
1935,female,55-59,001*-139*,89.04
1936,female,55-59,001*-139*,87.29
1937,female,55-59,001*-139*,91.1
1938,female,55-59,001*-139*,98.54
1939,female,55-59,001*-139*,95.04
1940,female,55-59,001*-139*,105.85
1941,female,55-59,001*-139*,126.9
1942,female,55-59,001*-139*,122.81
1943,female,55-59,001*-139*,125.9
1944,female,55-59,001*-139*,120.55
1945,female,55-59,001*-139*,95.96
1946,female,55-59,001*-139*,71.35
1947,female,55-59,001*-139*,67.14
1948,female,55-59,001*-139*,67.25
1949,female,55-59,001*-139*,62.57
1950,female,55-59,001*-139*,52.47
1951,female,55-59,001*-139*,54.23
1952,female,55-59,001*-139*,40.17
1953,female,55-59,001*-139*,34.51
1954,female,55-59,001*-139*,32.11
1955,female,55-59,001*-139*,28.51
1956,female,55-59,001*-139*,26.56
1957,female,55-59,001*-139*,26.29
1958,female,55-59,001*-139*,21.07
1959,female,55-59,001*-139*,20.89
1960,female,55-59,001*-139*,20.27
1961,female,55-59,001*-139*,18.65
1962,female,55-59,001*-139*,18.63
1963,female,55-59,001*-139*,17.1
1964,female,55-59,001*-139*,14.53
1965,female,55-59,001*-139*,12.51
1966,female,55-59,001*-139*,14.02
1967,female,55-59,001*-139*,12.67
1968,female,55-59,001*-139*,9.86
1969,female,55-59,001*-139*,9
1970,female,55-59,001*-139*,9.82
1971,female,55-59,001*-139*,9.54
1972,female,55-59,001*-139*,11.08
1973,female,55-59,001*-139*,11.23
1974,female,55-59,001*-139*,11.08
1975,female,55-59,001*-139*,10.26
1976,female,55-59,001*-139*,9.53
1977,female,55-59,001*-139*,8.37
1978,female,55-59,001*-139*,9.24
1979,female,55-59,001*-139*,8.38
1980,female,55-59,001*-139*,7.17
1981,female,55-59,001*-139*,8.12
1982,female,55-59,001*-139*,6.65
1983,female,55-59,001*-139*,5.16
1984,female,55-59,001*-139*,5.73
1985,female,55-59,001*-139*,4.81
1986,female,55-59,001*-139*,5.58
1987,female,55-59,001*-139*,5.96
1988,female,55-59,001*-139*,6.48
1989,female,55-59,001*-139*,6.31
1990,female,55-59,001*-139*,6.11
1991,female,55-59,001*-139*,6.69
1992,female,55-59,001*-139*,5.02
1993,female,55-59,001*-139*,5.06
1994,female,55-59,001*-139*,6.76
1995,female,55-59,001*-139*,6.54
1996,female,55-59,001*-139*,6.54
1997,female,55-59,001*-139*,4.37
1998,female,55-59,001*-139*,3.62
1999,female,55-59,001*-139*,3.56
1925,female,60-64,001*-139*,110.7
1926,female,60-64,001*-139*,109.27
1927,female,60-64,001*-139*,117.68
1928,female,60-64,001*-139*,116.64
1929,female,60-64,001*-139*,117.28
1930,female,60-64,001*-139*,104.47
1931,female,60-64,001*-139*,101
1932,female,60-64,001*-139*,97.98
1933,female,60-64,001*-139*,97.47
1934,female,60-64,001*-139*,94.72
1935,female,60-64,001*-139*,91.77
1936,female,60-64,001*-139*,90.19
1937,female,60-64,001*-139*,82.44
1938,female,60-64,001*-139*,87.83
1939,female,60-64,001*-139*,82.99
1940,female,60-64,001*-139*,121.46
1941,female,60-64,001*-139*,127.23
1942,female,60-64,001*-139*,136.38
1943,female,60-64,001*-139*,136.99
1944,female,60-64,001*-139*,133.04
1945,female,60-64,001*-139*,114.07
1946,female,60-64,001*-139*,83.84
1947,female,60-64,001*-139*,78.57
1948,female,60-64,001*-139*,77.49
1949,female,60-64,001*-139*,71.95
1950,female,60-64,001*-139*,58.16
1951,female,60-64,001*-139*,63.85
1952,female,60-64,001*-139*,50.1
1953,female,60-64,001*-139*,40.36
1954,female,60-64,001*-139*,38.72
1955,female,60-64,001*-139*,33.96
1956,female,60-64,001*-139*,32.74
1957,female,60-64,001*-139*,30.51
1958,female,60-64,001*-139*,24.66
1959,female,60-64,001*-139*,29.24
1960,female,60-64,001*-139*,24.81
1961,female,60-64,001*-139*,22.47
1962,female,60-64,001*-139*,20.96
1963,female,60-64,001*-139*,21.45
1964,female,60-64,001*-139*,19.13
1965,female,60-64,001*-139*,17.79
1966,female,60-64,001*-139*,14.96
1967,female,60-64,001*-139*,18.25
1968,female,60-64,001*-139*,15.95
1969,female,60-64,001*-139*,14
1970,female,60-64,001*-139*,12.84
1971,female,60-64,001*-139*,13.03
1972,female,60-64,001*-139*,12.8
1973,female,60-64,001*-139*,15.18
1974,female,60-64,001*-139*,13.61
1975,female,60-64,001*-139*,11.52
1976,female,60-64,001*-139*,13.22
1977,female,60-64,001*-139*,13.52
1978,female,60-64,001*-139*,11.73
1979,female,60-64,001*-139*,12.32
1980,female,60-64,001*-139*,9.66
1981,female,60-64,001*-139*,10.26
1982,female,60-64,001*-139*,10.12
1983,female,60-64,001*-139*,8.21
1984,female,60-64,001*-139*,9.48
1985,female,60-64,001*-139*,9.15
1986,female,60-64,001*-139*,9.63
1987,female,60-64,001*-139*,9.28
1988,female,60-64,001*-139*,7.3
1989,female,60-64,001*-139*,8.31
1990,female,60-64,001*-139*,7.89
1991,female,60-64,001*-139*,7.44
1992,female,60-64,001*-139*,9.78
1993,female,60-64,001*-139*,9.45
1994,female,60-64,001*-139*,9.88
1995,female,60-64,001*-139*,9.52
1996,female,60-64,001*-139*,9.06
1997,female,60-64,001*-139*,7.27
1998,female,60-64,001*-139*,6.09
1999,female,60-64,001*-139*,5.78
1925,female,65-69,001*-139*,99.41
1926,female,65-69,001*-139*,99.49
1927,female,65-69,001*-139*,114.34
1928,female,65-69,001*-139*,112
1929,female,65-69,001*-139*,117.28
1930,female,65-69,001*-139*,107.48
1931,female,65-69,001*-139*,108.24
1932,female,65-69,001*-139*,98.66
1933,female,65-69,001*-139*,95.62
1934,female,65-69,001*-139*,92.12
1935,female,65-69,001*-139*,93.74
1936,female,65-69,001*-139*,95.11
1937,female,65-69,001*-139*,78.07
1938,female,65-69,001*-139*,83.6
1939,female,65-69,001*-139*,82.75
1940,female,65-69,001*-139*,128.66
1941,female,65-69,001*-139*,132.7
1942,female,65-69,001*-139*,150.2
1943,female,65-69,001*-139*,160.51
1944,female,65-69,001*-139*,150.45
1945,female,65-69,001*-139*,133.58
1946,female,65-69,001*-139*,97.11
1947,female,65-69,001*-139*,92.63
1948,female,65-69,001*-139*,91.16
1949,female,65-69,001*-139*,90.97
1950,female,65-69,001*-139*,76.51
1951,female,65-69,001*-139*,75.1
1952,female,65-69,001*-139*,61.69
1953,female,65-69,001*-139*,54.45
1954,female,65-69,001*-139*,46.99
1955,female,65-69,001*-139*,45
1956,female,65-69,001*-139*,46.13
1957,female,65-69,001*-139*,40.36
1958,female,65-69,001*-139*,39.11
1959,female,65-69,001*-139*,38.28
1960,female,65-69,001*-139*,34.75
1961,female,65-69,001*-139*,35.82
1962,female,65-69,001*-139*,29.14
1963,female,65-69,001*-139*,28.99
1964,female,65-69,001*-139*,26.79
1965,female,65-69,001*-139*,24.86
1966,female,65-69,001*-139*,23.75
1967,female,65-69,001*-139*,25.09
1968,female,65-69,001*-139*,21.33
1969,female,65-69,001*-139*,19.96
1970,female,65-69,001*-139*,20.39
1971,female,65-69,001*-139*,17.04
1972,female,65-69,001*-139*,20.44
1973,female,65-69,001*-139*,20.91
1974,female,65-69,001*-139*,20.07
1975,female,65-69,001*-139*,21.84
1976,female,65-69,001*-139*,20.92
1977,female,65-69,001*-139*,17.33
1978,female,65-69,001*-139*,20.97
1979,female,65-69,001*-139*,17.95
1980,female,65-69,001*-139*,17.93
1981,female,65-69,001*-139*,18.87
1982,female,65-69,001*-139*,19.53
1983,female,65-69,001*-139*,19.43
1984,female,65-69,001*-139*,14.69
1985,female,65-69,001*-139*,14.46
1986,female,65-69,001*-139*,15.98
1987,female,65-69,001*-139*,13.9
1988,female,65-69,001*-139*,14.89
1989,female,65-69,001*-139*,14.65
1990,female,65-69,001*-139*,12.66
1991,female,65-69,001*-139*,14.43
1992,female,65-69,001*-139*,14.28
1993,female,65-69,001*-139*,14.91
1994,female,65-69,001*-139*,13.4
1995,female,65-69,001*-139*,16.31
1996,female,65-69,001*-139*,14.61
1997,female,65-69,001*-139*,14.18
1998,female,65-69,001*-139*,11.76
1999,female,65-69,001*-139*,10.97
1925,female,70-74,001*-139*,101.61
1926,female,70-74,001*-139*,102.61
1927,female,70-74,001*-139*,114.15
1928,female,70-74,001*-139*,111.1
1929,female,70-74,001*-139*,117.55
1930,female,70-74,001*-139*,82.39
1931,female,70-74,001*-139*,77.91
1932,female,70-74,001*-139*,81.74
1933,female,70-74,001*-139*,80.11
1934,female,70-74,001*-139*,80.48
1935,female,70-74,001*-139*,72.75
1936,female,70-74,001*-139*,71.74
1937,female,70-74,001*-139*,76.06
1938,female,70-74,001*-139*,80.74
1939,female,70-74,001*-139*,70.51
1940,female,70-74,001*-139*,111.06
1941,female,70-74,001*-139*,109.05
1942,female,70-74,001*-139*,128.95
1943,female,70-74,001*-139*,140.36
1944,female,70-74,001*-139*,139.28
1945,female,70-74,001*-139*,116.48
1946,female,70-74,001*-139*,82.44
1947,female,70-74,001*-139*,80.72
1948,female,70-74,001*-139*,79.25
1949,female,70-74,001*-139*,83.1
1950,female,70-74,001*-139*,77.24
1951,female,70-74,001*-139*,71.81
1952,female,70-74,001*-139*,79.89
1953,female,70-74,001*-139*,69.23
1954,female,70-74,001*-139*,62.09
1955,female,70-74,001*-139*,63.04
1956,female,70-74,001*-139*,57.77
1957,female,70-74,001*-139*,54.81
1958,female,70-74,001*-139*,54.34
1959,female,70-74,001*-139*,55.04
1960,female,70-74,001*-139*,46.24
1961,female,70-74,001*-139*,46.75
1962,female,70-74,001*-139*,40.96
1963,female,70-74,001*-139*,44.84
1964,female,70-74,001*-139*,43.09
1965,female,70-74,001*-139*,39.43
1966,female,70-74,001*-139*,32.48
1967,female,70-74,001*-139*,38.53
1968,female,70-74,001*-139*,34.1
1969,female,70-74,001*-139*,34.83
1970,female,70-74,001*-139*,29.55
1971,female,70-74,001*-139*,29.53
1972,female,70-74,001*-139*,29.03
1973,female,70-74,001*-139*,32.49
1974,female,70-74,001*-139*,31.64
1975,female,70-74,001*-139*,30.05
1976,female,70-74,001*-139*,32.49
1977,female,70-74,001*-139*,31.79
1978,female,70-74,001*-139*,33.43
1979,female,70-74,001*-139*,29.97
1980,female,70-74,001*-139*,31.29
1981,female,70-74,001*-139*,27.57
1982,female,70-74,001*-139*,30.36
1983,female,70-74,001*-139*,31.85
1984,female,70-74,001*-139*,28.1
1985,female,70-74,001*-139*,30.78
1986,female,70-74,001*-139*,28.26
1987,female,70-74,001*-139*,28.01
1988,female,70-74,001*-139*,26.34
1989,female,70-74,001*-139*,26.64
1990,female,70-74,001*-139*,24.21
1991,female,70-74,001*-139*,23.07
1992,female,70-74,001*-139*,20.56
1993,female,70-74,001*-139*,24.28
1994,female,70-74,001*-139*,25.16
